Audit ref,Finding ref,Domain,Control,Finding severity,Status,Observation,Root cause,Risk,Agreed action,Owner,Target date,Management response,Evidence ref,ISO 27001,DSPT
ITA-202607-BE6B,BCP-02,"Backup, Resilience & Disaster Recovery",Restore testing performed and evidenced,critical,Non-compliant,No full restore test of the EHR has been performed since the platform migration 19 months ago. Testing is limited to individual file-level restores. The documented RTO of 4 hours has therefore never been validated.,Restore testing requires an isolated recovery environment that has not been funded.,In a ransomware scenario the organisation cannot demonstrate that clinical systems can be recovered within the stated RTO. Unvalidated backups are a recurring cause of extended clinical downtime.,"Perform a full restore test of the EHR and PACS to an isolated environment within 60 days, measure actual recovery time against RTO, and repeat at least annually. Report the result to the board.",Infrastructure Manager,2026-08-04,Accepted.,WP-BCP-02,"A.8.13, A.5.30",Assertion 7.2
ITA-202607-BE6B,CHG-03,Change & Development Management,Use of live patient data in non-production,critical,Non-compliant,"The UAT instance of the EHR contains a full copy of live patient data refreshed monthly, including names, NHS numbers and clinical notes. 34 users have access to UAT, of whom 9 have no clinical role. No masking process exists and no approval for the use of live data was found.",The test refresh process was inherited from the previous supplier's implementation and has never been reviewed against data protection requirements.,"Patient data is processed in an environment with weaker access control and no clinical justification, contrary to the purpose limitation and security principles. A compromise of UAT would be a reportable breach of the full patient record.","Implement pseudonymisation on refresh to non-production, or restrict UAT access to the same population as production pending that capability. Document and approve the process through the DPO.",EHR System Owner / DPO,2026-08-04,Accepted.,WP-CHG-03,A.8.33,
ITA-202607-BE6B,IAM-01,Identity & Access Management,"Joiners, movers, leavers process effectiveness",critical,Non-compliant,"20 leavers were sampled against HR termination records. 7 accounts (35%) remained enabled after the leave date, the longest for 94 days. Two of these accounts were used to authenticate to the EHR after the individual had left the organisation.","Leaver notification is a manual email from HR to the service desk with no ticket raised, no SLA and no reconciliation between HR records and Active Directory.",Active credentials held by former staff allow unauthorised access to special category health data. Post-termination logons already evidenced constitute a reportable personal data breach exposure under UK GDPR Art. 33.,"Automate leaver de-provisioning from the HR system to Active Directory. As an interim control, implement a monthly reconciliation of the HR leaver report against enabled accounts, with exceptions reported to the IG committee. Investigate the two post-termination logons as potential incidents.",Head of IT Operations / HR Director,2026-08-04,Accepted.,WP-IAM-01,"A.5.16, A.5.18, A.6.5",Assertion 4.2
ITA-202607-BE6B,LOG-02,"Logging, Monitoring & Detection",Clinical record access auditing,critical,Non-compliant,"The EHR records record-level access, but no proactive audit of inappropriate access has been performed in the audit period. No alerting exists for self-lookup, same-surname or VIP record access. A sample query run during fieldwork identified 3 instances of staff accessing their own record.","Ownership of clinical record access auditing is not assigned; IG assumes IT performs it, IT assumes IG performs it.",Inappropriate access to patient records goes undetected. This is a recurring theme in ICO enforcement against healthcare providers and undermines the confidentiality obligation under UK GDPR Art. 5(1)(f).,"Assign ownership of clinical audit review to the IG team. Implement monthly proactive audit covering self, same-surname and VIP access, with exceptions investigated under the disciplinary process. Review the 3 instances identified during fieldwork.",Head of Information Governance,2026-08-27,Accepted.,WP-LOG-02,A.8.15,Assertion 4.5
ITA-202607-BE6B,VUL-02,Vulnerability & Patch Management,Patch deployment within defined SLA,critical,Non-compliant,"Of 20 critical and high vulnerabilities sampled, 13 exceeded the 14-day remediation SLA. Mean time to remediate for critical vulnerabilities was 47 days. Three internet-facing systems carried unpatched vulnerabilities with known public exploits at the time of testing.","Patching windows for clinical systems require clinical sign-off that is only sought monthly, and there is no emergency patching route for actively exploited vulnerabilities.",Exploitation of known vulnerabilities on internet-facing infrastructure is the most common initial access vector in healthcare ransomware incidents. Failure also breaches Cyber Essentials certification conditions.,Define and approve an emergency patching procedure for actively exploited vulnerabilities with a 72-hour target. Remediate the three internet-facing systems immediately. Report SLA compliance monthly to the IG committee.,Head of IT Operations,2026-08-04,Accepted.,WP-VUL-02,A.8.8,Assertion 9.4
ITA-202607-BE6B,VUL-03,Vulnerability & Patch Management,Unsupported / end-of-life systems,critical,Non-compliant,"14 Windows Server 2012 R2 hosts and 2 Windows 10 21H2 endpoints remain in service, including the radiology PACS gateway. No extended security updates are purchased and no risk acceptance has been formally approved.",Replacement of the PACS gateway is dependent on a supplier upgrade that has been deferred twice; no compensating controls were implemented while the deferral ran.,Unsupported platforms receive no security updates and cannot be brought into a defensible position. Compromise of the PACS gateway would disrupt diagnostic imaging and expose patient images.,"Produce a dated decommissioning plan for all end-of-life hosts. Where migration cannot complete within 90 days, isolate the hosts to a restricted VLAN with explicit allow rules and obtain formal risk acceptance from the SIRO.",IT Director,2026-08-27,Accepted.,WP-VUL-03,A.8.8,Assertion 6.2
ITA-202607-BE6B,END-04,"Endpoint, Mobile & Connected Medical Device Security",Connected medical device (IoMT) risk control,high,Partially compliant,"The medical device inventory holds 218 networked devices but is not reconciled to network discovery, which identified 27 further devices. Of 8 devices sampled, 3 ran unsupported operating systems and 2 retained default administrative credentials.","Medical devices are procured by clinical departments without IT involvement, so they do not enter the IT asset or vulnerability management processes.","Unmanaged connected devices with default credentials provide a persistent foothold on the clinical network and, for some device classes, present a patient safety risk.",Include IT security sign-off as a mandatory step in medical device procurement. Reconcile the inventory to discovery quarterly. Change default credentials on the devices identified and obtain manufacturer patch positions for unsupported devices.,Head of Medical Physics / IT Security Manager,2026-09-26,"Accepted, timescale agreed with management.",WP-END-04,"A.8.9, A.5.9",Assertion 6.3
ITA-202607-BE6B,IAM-02,Identity & Access Management,Privileged account governance,high,Partially compliant,"31 accounts hold Domain Admin or equivalent privilege. 9 are shared or service accounts without a named owner, and 4 have not been used in over 180 days. Quarterly privileged access reviews were evidenced for Q1 and Q2 only; Q3 and Q4 were not performed.",No privileged access management tooling; reviews depend on the availability of a single infrastructure engineer with no deputy.,Excessive and unattributable administrative access increases the blast radius of a compromised credential and prevents attribution during investigation.,"Reduce privileged accounts to named individuals with a documented justification, disable dormant accounts, and place remaining service accounts under managed vault credentials. Reinstate quarterly review with a named deputy reviewer.",Infrastructure Manager,2026-08-27,"Accepted, timescale agreed with management.",WP-IAM-02,"A.8.2, A.5.18",Assertion 4.5
ITA-202607-BE6B,NET-02,Network & Infrastructure Security,Network segmentation of clinical and medical device VLANs,high,Partially compliant,"Medical device and corporate VLANs are separated, but ACL testing from the corporate segment reached 4 of 8 medical devices tested on management ports (SSH/HTTP). Guest Wi-Fi was correctly isolated. The network diagram was last updated 14 months ago and did not reflect two new VLANs.","Segmentation was implemented at project level without an enforced inter-VLAN policy baseline, and no periodic validation testing takes place.","Lateral movement from a compromised corporate endpoint to connected medical devices could affect device availability and, in some device classes, patient safety.",Apply default-deny inter-VLAN policy with explicit allow rules for clinically required flows. Re-test segmentation after change and at least annually. Refresh the network diagram and place it under change control.,Network Manager,2026-08-27,"Accepted, timescale agreed with management.",WP-NET-02,A.8.22,Assertion 9.5
ITA-202607-BE6B,RSK-02,Risk Management & Compliance Assurance,DPIAs completed for high-risk processing,high,Partially compliant,Four new systems processing patient data were deployed in the period. DPIAs exist for three; the patient messaging platform went live without one and the DPIA was completed retrospectively 5 months after go-live. Two DPIAs lack evidence of DPO review.,"The DPIA trigger sits in the IG process but is not a mandatory gate in the project or procurement lifecycle, so it can be bypassed.",Deploying high-risk processing without a prior DPIA is a direct breach of UK GDPR Art. 35 and removes the opportunity to design in mitigations before go-live.,"Make DPIA completion and DPO sign-off a mandatory stage gate in the project and procurement lifecycle, with the CAB unable to approve go-live without it.",Data Protection Officer,2026-09-26,"Accepted, timescale agreed with management.",WP-RSK-02,A.5.34,Assertion 3.4
ITA-202607-BE6B,TPR-03,Third Party & Supplier Assurance,Third-party remote access control,high,Partially compliant,"21 third-party support accounts were identified. 6 lack MFA, 11 have no expiry date set, and per-session approval is not required for 4 suppliers who hold standing access. Session logging is in place for all accounts.",Supplier access is provisioned ad hoc at contract start with no standard control baseline and no periodic review.,"Standing, unattributed supplier access is a well-documented initial access route in healthcare supply chain incidents and limits the ability to attribute activity.","Apply a supplier access standard: MFA mandatory, accounts disabled by default and enabled per approved session, maximum 12-month expiry, quarterly review by the contract owner.",Head of IT Operations,2026-08-27,"Accepted, timescale agreed with management.",WP-TPR-03,"A.5.21, A.8.5",Assertion 4.5
